Codes,Titles,Number of US Businesses
52,Finance and Insurance,"734,720"
521110,Monetary Authorities-Central Bank,42
522110,Commercial Banking,"80,604"
522120,Savings Institutions,"12,554"
522130,Credit Unions,"15,487"
522190,Other Depository Credit Intermediation,0
522210,Credit Card Issuing,2
522220,Sales Financing,"2,666"
522291,Consumer Lending,"15,711"
522292,Real Estate Credit,"4,201"
522293,International Trade Financing,"2,192"
522294,Secondary Market Financing,6
522298,All Other Nondepository Credit Intermediation,"17,271"
522310,Mortgage and Nonmortgage Loan Brokers,"16,079"
522320,"Financial Transactions Processing, Reserve, and Clearinghouse Activities","27,964"
522390,Other Activities Related to Credit Intermediation,"27,167"
523110,Investment Banking and Securities Dealing,"3,005"
523120,Securities Brokerage,"30,789"
523130,Commodity Contracts Dealing,"3,286"
523140,Commodity Contracts Brokerage,572
523210,Securities and Commodity Exchanges,410
523910,Miscellaneous Intermediation,"125,351"
523920,Portfolio Management,"8,527"
523930,Investment Advice,"48,948"
523991,"Trust, Fiduciary, and Custody Activities","22,726"
523999,Miscellaneous Financial Investment Activities,"2,318"
524113,Direct Life Insurance Carriers,"6,648"
524114,Direct Health and Medical Insurance Carriers,"5,434"
524126,Direct Property and Casualty Insurance Carriers,"11,167"
524127,Direct Title Insurance Carriers,"5,216"
524128,"Other Direct Insurance (except Life, Health, and Medical) Carriers","3,259"
524130,Reinsurance Carriers,159
524210,Insurance Agencies and Brokerages,"194,637"
524291,Claims Adjusting,"4,231"
524292,Third Party Administration of Insurance and Pension Funds,"1,008"
524298,All Other Insurance Related Activities,"6,239"
525110,Pension Funds,909
525120,Health and Welfare Funds,926
525190,Other Insurance Funds,101
525910,Open-End Investment Funds,"9,542"
525920,"Trusts, Estates, and Agency Accounts","9,909"
525990,Other Financial Vehicles,"7,457"
