Codes,Titles,Number of US Businesses
31-33,Manufacturing,"652,353"
311111,Dog and Cat Food Manufacturing,444
311119,Other Animal Food Manufacturing,"1,848"
311211,Flour Milling,534
311212,Rice Milling,152
311213,Malt Manufacturing,61
311221,Wet Corn Milling,217
311224,Soybean and Other Oilseed Processing,194
311225,Fats and Oils Refining and Blending,504
311230,Breakfast Cereal Manufacturing,304
311313,Beet Sugar Manufacturing,51
311314,Cane Sugar Manufacturing,114
311340,Nonchocolate Confectionery Manufacturing,"1,280"
311351,Chocolate and Confectionery Manufacturing from Cacao Beans,732
311352,Confectionery Manufacturing from Purchased Chocolate,313
311411,"Frozen Fruit, Juice, and Vegetable Manufacturing",410
311412,Frozen Specialty Food Manufacturing,653
311421,Fruit and Vegetable Canning,"1,399"
311422,Specialty Canning,637
311423,Dried and Dehydrated Food Manufacturing,325
311511,Fluid Milk Manufacturing,866
311512,Creamery Butter Manufacturing,281
311513,Cheese Manufacturing,840
311514,"Dry, Condensed, and Evaporated Dairy Product Manufacturing",785
311520,Ice Cream and Frozen Dessert Manufacturing,"1,549"
311611,Animal (except Poultry) Slaughtering,"2,232"
311612,Meat Processed from Carcasses,"1,296"
311613,Rendering and Meat Byproduct Processing,282
311615,Poultry Processing,673
311710,Seafood Product Preparation and Packaging,856
311811,Retail Bakeries,"19,811"
311812,Commercial Bakeries,"4,057"
311813,"Frozen Cakes, Pies, and Other Pastries Manufacturing",339
311821,Cookie and Cracker Manufacturing,789
311824,"Dry Pasta, Dough, and Flour Mixes Manufacturing from Purchased Flour",629
311830,Tortilla Manufacturing,723
311911,Roasted Nuts and Peanut Butter Manufacturing,240
311919,Other Snack Food Manufacturing,676
311920,Coffee and Tea Manufacturing,898
311930,Flavoring Syrup and Concentrate Manufacturing,294
311941,"Mayonnaise, Dressing, and Other Prepared Sauce Manufacturing",555
311942,Spice and Extract Manufacturing,"1,032"
311991,Perishable Prepared Food Manufacturing,343
311999,All Other Miscellaneous Food Manufacturing,"3,491"
312111,Soft Drink Manufacturing,"2,535"
312112,Bottled Water Manufacturing,617
312113,Ice Manufacturing,585
312120,Breweries,"1,801"
312130,Wineries,"4,588"
312140,Distilleries,525
312230,Tobacco Manufacturing,662
313110,"Fiber, Yarn, and Thread Mills",857
313210,Broadwoven Fabric Mills,"3,767"
313220,Narrow Fabric Mills and Schiffli Machine Embroidery,550
313230,Nonwoven Fabric Mills,226
313240,Knit Fabric Mills,240
313310,Textile and Fabric Finishing Mills,"1,381"
313320,Fabric Coating Mills,475
314110,Carpet and Rug Mills,"1,207"
314120,Curtain and Linen Mills,"2,033"
314910,Textile Bag and Canvas Mills,"2,237"
314994,"Rope, Cordage, Twine, Tire Cord, and Tire Fabric Mills",407
314999,All Other Miscellaneous Textile Product Mills,"11,048"
315110,Hosiery and Sock Mills,584
315190,Other Apparel Knitting Mills,"1,086"
315210,Cut and Sew Apparel Contractors,434
315220,Men’s and Boys’ Cut and Sew Apparel Manufacturing,"3,562"
315240,"Women’s, Girls’, and Infants’ Cut and Sew Apparel Manufacturing","4,262"
315280,Other Cut and Sew Apparel Manufacturing,"1,303"
315990,Apparel Accessories and Other Apparel Manufacturing,"2,447"
316110,Leather and Hide Tanning and Finishing,894
316210,Footwear Manufacturing,824
316992,Women's Handbag and Purse Manufacturing,427
316998,All Other Leather Good and Allied Product Manufacturing,"4,237"
321113,Sawmills,"2,677"
321114,Wood Preservation,751
321211,Hardwood Veneer and Plywood Manufacturing,340
321212,Softwood Veneer and Plywood Manufacturing,91
321213,Engineered Wood Member (except Truss) Manufacturing,76
321214,Truss Manufacturing,979
321219,Reconstituted Wood Product Manufacturing,374
321911,Wood Window and Door Manufacturing,"1,501"
321912,"Cut Stock, Resawing Lumber, and Planing","1,441"
321918,Other Millwork (including Flooring),"12,232"
321920,Wood Container and Pallet Manufacturing,"3,513"
321991,Manufactured Home (Mobile Home) Manufacturing,771
321992,Prefabricated Wood Building Manufacturing,"1,252"
321999,All Other Miscellaneous Wood Product Manufacturing,"5,381"
322110,Pulp Mills,458
322121,Paper (except Newsprint) Mills,"1,842"
322122,Newsprint Mills,31
322130,Paperboard Mills,796
322211,Corrugated and Solid Fiber Box Manufacturing,"1,716"
322212,Folding Paperboard Box Manufacturing,240
322219,Other Paperboard Container Manufacturing,725
322220,Paper Bag and Coated and Treated Paper Manufacturing,"1,902"
322230,Stationery Product Manufacturing,515
322291,Sanitary Paper Product Manufacturing,379
322299,All Other Converted Paper Product Manufacturing,"1,446"
323111,Commercial Printing (except Screen and Books),"47,258"
323113,Commercial Screen Printing,"4,316"
323117,Books Printing,518
323120,Support Activities for Printing,"2,147"
324110,Petroleum Refineries,"1,808"
324121,Asphalt Paving Mixture and Block Manufacturing,"1,315"
324122,Asphalt Shingle and Coating Materials Manufacturing,544
324191,Petroleum Lubricating Oil and Grease Manufacturing,869
324199,All Other Petroleum and Coal Products Manufacturing,193
325110,Petrochemical Manufacturing,"1,775"
325120,Industrial Gas Manufacturing,"1,517"
325130,Synthetic Dye and Pigment Manufacturing,344
325180,Other Basic Inorganic Chemical Manufacturing,"3,781"
325193,Ethyl Alcohol Manufacturing,196
325194,"Cyclic Crude, Intermediate, and Gum and Wood Chemical Manufacturing",244
325199,All Other Basic Organic Chemical Manufacturing,"1,936"
325211,Plastics Material and Resin Manufacturing,"2,111"
325212,Synthetic Rubber Manufacturing,273
325220,Artificial and Synthetic Fibers and Filaments Manufacturing,271
325311,Nitrogenous Fertilizer Manufacturing,515
325312,Phosphatic Fertilizer Manufacturing,130
325314,Fertilizer (Mixing Only) Manufacturing,590
325320,Pesticide and Other Agricultural Chemical Manufacturing,973
325411,Medicinal and Botanical Manufacturing,"1,203"
325412,Pharmaceutical Preparation Manufacturing,"7,158"
325413,In-Vitro Diagnostic Substance Manufacturing,152
325414,Biological Product (except Diagnostic) Manufacturing,"1,899"
325510,Paint and Coating Manufacturing,"2,351"
325520,Adhesive Manufacturing,"1,354"
325611,Soap and Other Detergent Manufacturing,"1,262"
325612,Polish and Other Sanitation Good Manufacturing,"2,112"
325613,Surface Active Agent Manufacturing,214
325620,Toilet Preparation Manufacturing,"3,079"
325910,Printing Ink Manufacturing,662
325920,Explosives Manufacturing,240
325991,Custom Compounding of Purchased Resins,190
325992,"Photographic Film, Paper, Plate, and Chemical Manufacturing",420
325998,All Other Miscellaneous Chemical Product and Preparation Manufacturing,"3,484"
326111,Plastics Bag and Pouch Manufacturing,327
326112,Plastics Packaging Film and Sheet (including Laminated) Manufacturing,171
326113,Unlaminated Plastics Film and Sheet (except Packaging) Manufacturing,944
326121,Unlaminated Plastics Profile Shape Manufacturing,215
326122,Plastics Pipe and Pipe Fitting Manufacturing,393
326130,"Laminated Plastics Plate, Sheet (except Packaging), and Shape Manufacturing",511
326140,Polystyrene Foam Product Manufacturing,52
326150,Urethane and Other Foam Product (except Polystyrene) Manufacturing,"1,304"
326160,Plastics Bottle Manufacturing,340
326191,Plastics Plumbing Fixture Manufacturing,390
326199,All Other Plastics Product Manufacturing,"10,233"
326211,Tire Manufacturing (except Retreading),594
326212,Tire Retreading,168
326220,Rubber and Plastics Hoses and Belting Manufacturing,382
326291,Rubber Product Manufacturing for Mechanical Use,304
326299,All Other Rubber Product Manufacturing,"1,988"
327110,"Pottery, Ceramics, and Plumbing Fixture Manufacturing","1,812"
327120,Clay Building Material and Refractories Manufacturing,"1,310"
327211,Flat Glass Manufacturing,862
327212,Other Pressed and Blown Glass and Glassware Manufacturing,"1,364"
327213,Glass Container Manufacturing,326
327215,Glass Product Manufacturing Made of Purchased Glass,"2,205"
327310,Cement Manufacturing,574
327320,Ready-Mix Concrete Manufacturing,"4,849"
327331,Concrete Block and Brick Manufacturing,993
327332,Concrete Pipe Manufacturing,199
327390,Other Concrete Product Manufacturing,"4,523"
327410,Lime Manufacturing,310
327420,Gypsum Product Manufacturing,"1,383"
327910,Abrasive Product Manufacturing,626
327991,Cut Stone and Stone Product Manufacturing,"2,529"
327992,Ground or Treated Mineral and Earth Manufacturing,401
327993,Mineral Wool Manufacturing,275
327999,All Other Miscellaneous Nonmetallic Mineral Product Manufacturing,519
331110,Iron and Steel Mills and Ferroalloy Manufacturing,"2,864"
331210,Iron and Steel Pipe and Tube Manufacturing from Purchased Steel,643
