Codes,Titles,Number of US Businesses
62,Health Care and Social Assistance,"1,456,809"
621111,Offices of Physicians (except Mental Health Specialists),"410,931"
621112,"Offices of Physicians, Mental Health Specialists","19,590"
621210,Offices of Dentists,"184,747"
621310,Offices of Chiropractors,"59,862"
621320,Offices of Optometrists,"27,665"
621330,Offices of Mental Health Practitioners (except Physicians),"32,440"
621340,"Offices of Physical, Occupational and Speech Therapists, and Audiologists","31,196"
621391,Offices of Podiatrists,"12,270"
621399,Offices of All Other Miscellaneous Health Practitioners,"35,858"
621410,Family Planning Centers,"3,017"
621420,Outpatient Mental Health and Substance Abuse Centers,"9,219"
621491,HMO Medical Centers,"1,246"
621492,Kidney Dialysis Centers,"8,348"
621493,Freestanding Ambulatory Surgical and Emergency Centers,"2,313"
621498,All Other Outpatient Care Centers,"29,488"
621511,Medical Laboratories,"12,721"
621512,Diagnostic Imaging Centers,"1,700"
621610,Home Health Care Services,"40,462"
621910,Ambulance Services,"6,799"
621991,Blood and Organ Banks,"6,450"
621999,All Other Miscellaneous Ambulatory Health Care Services,"115,683"
622110,General Medical and Surgical Hospitals,"20,416"
622210,Psychiatric and Substance Abuse Hospitals,"4,398"
622310,Specialty (except Psychiatric and Substance Abuse) Hospitals,"3,328"
623110,Nursing Care Facilities (Skilled Nursing Facilities),"36,029"
623210,Residential Intellectual and Developmental Disability Facilities,"2,295"
623220,Residential Mental Health and Substance Abuse Facilities,"6,013"
623311,Continuing Care Retirement Communities,"7,501"
623312,Assisted Living Facilities for the Elderly,"6,042"
623990,Other Residential Care Facilities,"18,396"
624110,Child and Youth Services,"10,309"
624120,Services for the Elderly and Persons with Disabilities,"19,161"
624190,Other Individual and Family Services,"126,532"
624210,Community Food Services,"1,073"
624221,Temporary Shelters,"1,502"
624229,Other Community Housing Services,191
624230,Emergency and Other Relief Services,"3,134"
624310,Vocational Rehabilitation Services,"13,516"
624410,Child Day Care Services,"124,968"
